wpsl_id,name,status,permalink,description,excerpt,author,date,address,address2,city,state,zip,country,country_iso,lat,lng,hours,phone,fax,email,url,image,category
23192,GPE 2E PORTES DE SOLOGNE,publish,gpe-2e-portes-de-sologne,,,61,2024-10-23 11:09:38,,,CONTRES,,41700,France,FR,47.420667,1.427039,,,,contact-loir-et-cher@scouts-europe.org,https://www.scouts-europe.org/loir-et-cher,0,
23190,GPE 1e VANNES,publish,gpe-1e-vannes,,,61,2024-10-23 11:05:34,,,VANNES,,56000,France,FR,47.658151,-2.756904,,,,contact-morbihan@scouts-europe.org,https://www.scouts-europe.org/morbihan,0,
23183,GPE 1E JURANCON,publish,gpe-1e-jurancon,,,61,2024-10-22 15:32:22,,,JURANCON,,64110,France,FR,43.287723,-0.390892,,,,contact-aquitaine-centre-et-sud@scouts-europe.org,https://www.scouts-europe.org/aquitaine-centre-et-sud,0,
23181,GPE 1E AJACCIO,publish,gpe-1e-ajaccio,,,61,2024-10-22 15:30:27,,,AJACCIO,,20000,France,FR,41.918489,8.67106,,,,contact-pays-toulonnais@scouts-europe.org,https://www.scouts-europe.org/pays-toulonnais,0,
23179,GPE 1E SAVENAY,publish,gpe-1e-savenay,,,61,2024-10-22 15:16:12,,,SAVENAY,,42260,France,FR,47.360102,-1.945598,,,,contact-nantes-erdre-chezine@scouts-europe.org,https://www.scouts-europe.org/nantes-chezine,0,
23177,GPE 2E SAVENAY,publish,gpe-2e-savenay,,,61,2024-10-22 15:15:05,,,SAVENAY,,42260,France,FR,47.358852,-1.944482,,,,contact-nantes-erdre-chezine@scouts-europe.org,https://www.scouts-europe.org/nantes-chezine,0,
23175,GPE 1RE PAYS DE FLANDRE,publish,gpe-1re-pays-de-flandre,,,61,2024-10-22 15:12:33,,,PAYS DE FLANDRE,,59190,France,FR,50.718191,2.543912,,,,contact-flandres@scouts-europe.org,https://www.scouts-europe.org/flandres,0,
23173,PL RENARD-MONTLUCON,publish,pl-renard-montlucon,,,61,2024-10-22 15:08:33,,,MONTLUCON,,3100,France,FR,46.341547,2.601991,,,,reseau-pl-guides@scouts-europe.org,https://www.scouts-europe.org/nous-rejoindre/reseau-patrouilles-libres/,0,
23171,GPE 2E LES CEVENNES,publish,gpe-2e-les-cevennes,,,61,2024-10-22 15:06:29,,,NIMES,,30000,France,FR,43.875806,4.382156,,,,contact-herault-gard-lozere@scouts-europe.org,https://www.scouts-europe.org/herault-gard-lozere,0,
23169,CPE 2E GRAND LIEU,publish,cpe-2e-grand-lieu,,,61,2024-10-22 15:03:51,,,GRAND LIEU,,,France,FR,47.066124,-1.650215,,,,contact-nantes-sevres@scouts-europe.org,https://www.scouts-europe.org/nantes-sevres,0,
23166,GPE 2E VAL D ORGE,publish,gpe-2e-val-d-orge-2,,,61,2024-10-22 14:59:08,,,EGLY,EGLY,91250,France,FR,48.580216,2.222247,,,,contact-essonne@scouts-europe.org,https://www.scouts-europe.org/essonne,0,
23163,GPE 3E VAUCRESSON-GARCHES,publish,gpe-3e-vaucresson-garches,,,61,2024-10-22 14:51:45,,,VAUCRESSON,,92420,France,FR,48.840036,2.152674,,,,contact-hauts-de-seine-centre@scouts-europe.org,https://www.scouts-europe.org/hauts-de-seine-centre,0,
23161,GPE 2E ST MALO,publish,gpe-2e-st-malo,,,61,2024-10-22 14:50:07,,,ST MALO,,35400,France,FR,48.636226,-1.986212,,,,contact-ille-et-villaine@scouts-europe.org,https://www.scouts-europe.org/ille-et-vilaine,0,
23159,GPE 3E PUTEAUX-NEUILLY SUR SEINE,publish,gpe-3e-puteaux-neuilly-sur-seine,,,61,2024-10-22 14:48:25,,,PUTEAUX,,92800,France,FR,48.884296,2.23788,,,,contact-hauts-de-seine-centre@scouts-europe.org,https://www.scouts-europe.org/hauts-de-seine-centre,0,
